created_at,entry_id,field6,field7,field4,field5,field3,field1,field2,latitude,longitude,elevation,status
2019-09-17 19:59:14 IST,128,69.1,24,24.6217,0.17584,1.79633,16.1,18.7,,,,
2019-09-17 19:59:31 IST,129,69.5,24,24.6217,0.17703,1.78087,15.9,19.3,,,,
2019-09-17 19:59:47 IST,130,70,24.1,24.77361,0.17703,1.75023,16,19.5,,,,
2019-09-17 20:00:04 IST,131,69.7,24,22.69503,0.18061,1.55993,16.3,20.1,,,,
2019-09-17 20:00:21 IST,132,68.8,24.1,24.47033,0.17822,1.7655,16.1,19,,,,
2019-09-17 20:00:38 IST,133,68.4,24,24.6217,0.17942,1.79633,15.9,18.4,,,,
2019-09-17 20:00:55 IST,134,68.3,23.9,22.69503,0.18544,1.55993,15.2,17.7,,,,
2019-09-17 20:01:11 IST,135,68.4,23.9,24.77361,0.18182,1.7655,15.1,17.9,,,,
2019-09-17 20:01:27 IST,136,68.5,23.8,24.47033,0.18544,1.75023,15.2,18.6,,,,
2019-09-17 20:01:44 IST,137,68.6,23.8,24.47033,0.18423,1.7655,15.3,17.1,,,,
2019-09-17 20:02:00 IST,138,68.9,23.8,24.6217,0.18909,1.75023,16.2,18.9,,,,
2019-09-17 20:02:17 IST,139,69.1,23.7,24.92605,0.18544,1.78087,16.1,21.9,,,,
2019-09-17 20:02:33 IST,140,69.7,23.8,24.01942,0.18787,1.78087,15.7,20.9,,,,
2019-09-17 20:02:50 IST,141,70.5,23.8,24.77361,0.18665,1.7655,15.5,17.8,,,,
2019-09-17 20:03:07 IST,142,70.4,23.8,24.6217,0.18544,1.78087,15.3,18,,,,
2019-09-17 20:03:23 IST,143,69.7,23.7,24.77361,0.19031,1.75023,15.9,18.8,,,,
2019-09-17 20:03:39 IST,144,69.6,23.7,22.69503,0.18787,1.75023,16.1,19.4,,,,
2019-09-17 20:03:56 IST,145,69.4,23.8,24.77361,0.19276,1.7655,16.2,19.2,,,,
2019-09-17 20:04:12 IST,146,68.8,23.7,22.55046,0.194,1.57404,16.4,18.4,,,,
2019-09-17 20:04:29 IST,147,68.7,23.7,24.92605,0.19031,1.70496,16.4,18.5,,,,
2019-09-17 20:04:45 IST,148,68,23.7,23.87018,0.19154,1.58823,15.9,17.9,,,,
2019-09-17 20:05:03 IST,149,67.6,23.6,22.98572,0.19523,1.75023,15.7,19.1,,,,
2019-09-17 20:05:20 IST,150,67.2,23.5,24.6217,0.19771,1.7655,15.9,18.8,,,,
2019-09-17 20:05:37 IST,151,67,23.5,24.6217,0.19647,1.75023,16.2,19,,,,
2019-09-17 20:05:53 IST,152,66.4,23.4,22.69503,0.2027,1.57404,15.9,19.7,,,,
2019-09-17 20:06:10 IST,153,65.7,23.3,24.92605,0.19895,1.78087,15.6,20.1,,,,
2019-09-17 20:06:26 IST,154,65.5,23.3,22.84012,0.20522,1.55993,15.7,18.4,,,,
2019-09-17 20:06:42 IST,155,65.5,23.2,22.84012,0.20648,1.55993,15.7,17.6,,,,
2019-09-17 20:06:59 IST,156,64.9,23.2,22.98572,0.20396,1.78087,15.1,17.5,,,,
2019-09-17 20:07:16 IST,157,64.5,23.1,22.69503,0.20901,1.57404,15,18.4,,,,
2019-09-17 20:07:33 IST,158,63.6,23,22.84012,0.20648,1.73504,15,18.4,,,,
2019-09-17 20:07:50 IST,159,63.5,23,22.84012,0.21156,1.55993,15.2,20.8,,,,
2019-09-17 20:08:06 IST,160,63.4,22.9,24.77361,0.21028,1.75023,15,20,,,,
2019-09-17 20:08:23 IST,161,64.6,22.8,24.77361,0.21028,1.7655,15,18,,,,
2019-09-17 20:08:41 IST,162,67.7,22.9,22.84012,0.21412,1.54592,15.3,17.8,,,,
2019-09-17 20:08:57 IST,163,69.4,22.9,24.92605,0.20774,1.7655,16.3,19.2,,,,
2019-09-17 20:09:14 IST,164,70.1,23,22.69503,0.21028,1.57404,16,17.9,,,,
2019-09-17 20:09:30 IST,165,70.8,23.1,22.84012,0.21028,1.55993,15.7,17.8,,,,
2019-09-17 20:09:48 IST,166,71.5,23.2,24.77361,0.20396,1.78087,15.3,18.3,,,,
2019-09-17 20:10:04 IST,167,72.1,23.3,24.92605,0.2027,1.78087,15.1,18.7,,,,
2019-09-17 20:10:21 IST,168,72.6,23.3,22.84012,0.20648,1.57404,15.6,19.8,,,,
2019-09-17 20:10:38 IST,169,72.9,23.4,24.92605,0.2002,1.79633,16.1,18.6,,,,
2019-09-17 20:10:54 IST,170,73.4,23.5,25.07904,0.2002,1.78087,15.8,18.9,,,,
2019-09-17 20:11:11 IST,171,74.3,23.6,22.84012,0.20396,1.57404,15.7,18.7,,,,
2019-09-17 20:11:27 IST,172,75,23.7,24.77361,0.19771,1.79633,16.3,18.3,,,,
2019-09-17 20:11:44 IST,173,75.7,23.8,22.98572,0.2027,1.57404,16.2,18.2,,,,
2019-09-17 20:12:00 IST,174,75.7,23.9,22.98572,0.20145,1.55993,16.5,19.4,,,,
2019-09-17 20:12:16 IST,175,76.6,24,24.92605,0.19523,1.7655,17.2,19.8,,,,
2019-09-17 20:12:33 IST,176,77,24,25.07904,0.19647,1.78087,17.4,19.4,,,,
2019-09-17 20:12:50 IST,177,77.2,24.1,23.13183,0.19771,1.57404,16.9,19,,,,
2019-09-17 20:13:06 IST,178,76.5,24.2,25.07904,0.19647,1.79633,17,19.3,,,,
2019-09-17 20:13:23 IST,179,75.9,24.2,22.98572,0.19771,1.58823,17.5,19.9,,,,
2019-09-17 20:13:40 IST,180,75.6,24.3,24.6217,0.19771,1.79633,16.7,19.3,,,,
2019-09-17 20:13:57 IST,181,75.4,24.4,22.98572,0.19771,1.58823,16.9,19,,,,
2019-09-17 20:14:13 IST,182,75.4,24.4,22.98572,0.19771,1.57404,17.1,19.1,,,,
2019-09-17 20:14:30 IST,183,74.9,24.4,25.07904,0.19523,1.78087,17.4,19.8,,,,
2019-09-17 20:14:47 IST,184,73.8,24.4,24.92605,0.194,1.79633,17.7,20.3,,,,
2019-09-17 20:15:04 IST,185,74.1,24.4,24.92605,0.19523,1.79633,17.2,19.9,,,,
2019-09-17 20:15:21 IST,186,74.4,24.4,24.92605,0.19523,1.79633,17.2,20,,,,
2019-09-17 20:15:38 IST,187,75.6,24.4,25.23256,0.194,1.81189,17.4,21.3,,,,
2019-09-17 20:15:54 IST,188,75,24.4,24.92605,0.19523,1.79633,17.8,21.2,,,,
2019-09-17 20:16:11 IST,189,73.1,24.4,24.92605,0.19647,1.81189,17.4,19.7,,,,
2019-09-17 20:16:26 IST,190,72.4,24.3,25.07904,0.2002,1.79633,16.9,18.9,,,,
2019-09-17 20:16:42 IST,191,73.3,24.4,23.13183,0.2027,1.57404,17.5,19.6,,,,
2019-09-17 20:16:59 IST,192,73.6,24.4,22.98572,0.20396,1.58823,17.6,19.7,,,,
2019-09-17 20:17:16 IST,193,73,24.4,23.13183,0.20145,1.78087,17,19,,,,
2019-09-17 20:17:33 IST,194,73.3,24.4,23.13183,0.20522,1.57404,17.6,19.7,,,,
2019-09-17 20:17:50 IST,195,72.5,24.4,25.07904,0.2002,1.78087,17.8,21.4,,,,
2019-09-17 20:18:06 IST,196,72.3,24.4,25.07904,0.2002,1.7655,18,23.4,,,,
2019-09-17 20:18:23 IST,197,72.8,24.4,25.23256,0.20145,1.79633,17.7,21.1,,,,
2019-09-17 20:18:39 IST,198,72.9,24.4,23.27846,0.2027,1.78087,18.1,22,,,,
2019-09-17 20:18:56 IST,199,71.8,24.3,25.07904,0.20396,1.78087,18,22.1,,,,
2019-09-17 20:19:12 IST,200,71.4,24.3,22.98572,0.20774,1.58823,16.8,19.8,,,,
2019-09-17 20:19:28 IST,201,71.7,24.3,25.23256,0.2027,1.61688,16.7,19.9,,,,
2019-09-17 20:19:45 IST,202,71.5,24.3,23.27846,0.20774,1.57404,17.3,19.3,,,,
2019-09-17 20:20:01 IST,203,71.2,24.3,25.38664,0.2027,1.69005,16.8,18.8,,,,
2019-09-17 20:20:19 IST,204,70.6,24.4,24.77361,0.2027,1.60251,16.5,18.4,,,,
2019-09-17 20:20:35 IST,205,70.8,24.4,25.38664,0.2027,1.79633,16.5,18.4,,,,
2019-09-17 20:20:52 IST,206,70.3,24.3,25.54126,0.2027,1.61688,16.4,19.5,,,,
2019-09-17 20:21:09 IST,207,70,24.3,23.57327,0.20522,1.81189,15.9,17.8,,,,
2019-09-17 20:21:26 IST,208,69.2,24.3,23.42561,0.21028,1.60251,16,17.9,,,,
2019-09-17 20:21:42 IST,209,68.9,24.2,23.27846,0.21156,1.60251,16,17.9,,,,
2019-09-17 20:21:59 IST,210,68.3,24.1,24.92605,0.21412,1.79633,15.8,17.6,,,,
2019-09-17 20:22:15 IST,211,68.3,23.9,23.42561,0.2154,1.60251,15.7,17.5,,,,
2019-09-17 20:22:32 IST,212,68.6,23.9,24.3195,0.2154,1.79633,16,17.9,,,,
2019-09-17 20:22:48 IST,213,68.9,23.8,25.38664,0.21284,1.81189,15.7,17.6,,,,
2019-09-17 20:23:04 IST,214,68.3,23.8,25.38664,0.21412,1.79633,15.2,17,,,,
2019-09-17 20:23:21 IST,215,68.1,23.7,25.38664,0.2154,1.60251,15.5,17.3,,,,
2019-09-17 20:23:38 IST,216,68.4,23.6,23.27846,0.22057,1.60251,15.9,17.9,,,,
2019-09-17 20:23:55 IST,217,68.6,23.6,23.13183,0.22187,1.58823,15.8,17.9,,,,
2019-09-17 20:24:12 IST,218,68.9,23.6,23.87018,0.21669,1.69005,15.3,17.1,,,,
2019-09-17 20:24:29 IST,219,68.6,23.6,24.3195,0.22057,1.78087,15.8,17.9,,,,
2019-09-17 20:24:45 IST,220,67.9,23.6,23.27846,0.22318,1.58823,16,17.9,,,,
2019-09-17 20:25:01 IST,221,67.4,23.6,25.38664,0.21928,1.79633,15.8,20,,,,
2019-09-17 20:25:18 IST,222,67.1,23.6,25.38664,0.22057,1.57404,15.4,20.9,,,,
